timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-09-09,134.5500,134.6500,129.3000,132.7500,129.8791,8634919,0.0000
2021-09-03,128.2000,135.4000,128.0500,133.8500,130.9554,11413106,0.0000
2021-08-27,126.4000,127.8500,121.7500,127.2000,124.4492,12063229,0.0000
2021-08-20,132.7500,134.1000,125.3000,126.4000,123.6665,6112225,0.0000
2021-08-13,137.9000,137.9000,126.5500,132.5500,129.6835,13913953,0.0000
2021-08-06,126.7000,136.8000,125.5000,135.1500,132.2272,22964337,0.0000
2021-07-30,123.4000,126.6000,118.4000,125.0000,122.2968,11193815,0.0000
2021-07-23,126.6500,128.4000,121.2000,122.9000,120.2422,12431760,0.0000
2021-07-16,126.4000,126.4500,122.9500,124.1500,121.4651,9221831,0.0000
2021-07-09,122.3000,126.9000,121.8000,124.5000,121.8076,18831930,0.0000
2021-07-02,122.2000,124.6500,120.7000,120.9500,118.3343,12350979,0.0000
2021-06-25,118.5000,125.1000,118.0000,121.1000,118.4811,16945719,0.0000
2021-06-18,126.8500,127.9000,116.6000,121.4000,118.7746,29013366,1.5500
2021-06-11,109.3500,132.5000,108.3500,125.6500,121.4198,59365331,0.0000
2021-06-04,104.3000,110.5000,103.7000,108.1000,104.4607,10220484,0.0000
2021-05-28,105.8500,109.3000,104.6000,105.3500,101.8033,9440675,0.0000
2021-05-21,102.8000,107.3500,101.7000,104.9000,101.3684,8736046,0.0000
2021-05-14,104.0000,111.1500,101.0500,101.4500,98.0346,19963091,0.0000
2021-05-07,98.7500,104.6000,96.3000,102.6500,99.1942,13331296,0.0000
2021-04-30,95.7500,101.4000,95.5000,98.8500,95.5221,11993175,0.0000
2021-04-23,93.3000,96.8500,91.8000,95.6500,92.4298,9455178,0.0000
2021-04-16,101.4000,101.4000,89.9500,97.1500,93.8793,17604550,0.0000
2021-04-09,105.3000,107.2500,100.5000,104.0500,100.5470,12356617,0.0000
2021-04-01,105.4000,105.8000,102.8000,105.0500,101.5134,6624996,0.0000
2021-03-26,105.2500,106.5000,96.5500,103.4500,99.9672,21516892,0.0000
2021-03-19,114.9500,114.9500,96.0000,104.2000,100.6920,31636067,0.0000
2021-03-12,109.0000,114.4500,104.7000,113.2500,109.4373,28394702,0.0000
2021-03-05,97.0000,114.0000,95.6500,107.3000,103.6876,31681608,0.0000
2021-02-26,91.0000,97.6000,89.0000,95.1000,91.8983,26517984,0.0000
2021-02-19,88.2000,94.8500,86.3500,91.1500,88.0813,20052925,0.0000
2021-02-12,87.6000,91.6500,86.0500,87.3000,84.3609,10741885,0.0000
2021-02-05,76.9000,91.5000,74.5000,87.4000,84.4576,22182962,0.0000
2021-01-29,84.9000,84.9000,74.5000,75.4000,72.8616,9917575,0.0000
2021-01-22,85.4500,86.4500,77.9500,79.3500,76.6786,9917632,0.0000
2021-01-15,83.3000,87.9500,82.1500,85.5000,82.6215,14473894,0.0000
2021-01-08,77.6000,84.6000,77.6000,83.0500,80.2540,15547823,0.0000
2021-01-01,75.4500,79.0000,75.2000,77.3500,74.7459,7333039,0.0000
2020-12-24,76.0000,76.0000,66.4000,74.4000,71.8952,11206740,0.0000
2020-12-18,73.2000,76.7000,72.5500,76.1500,73.5863,10911110,0.0000
2020-12-11,72.9000,75.0000,70.2500,72.8000,70.3491,17382768,0.0000
2020-12-04,65.4500,73.6000,65.0000,71.6500,69.2378,14448217,0.0000
2020-11-27,58.5500,65.2500,57.8500,64.9500,62.7634,14022152,0.0000
2020-11-20,56.0000,61.4500,55.9500,58.1000,56.1440,9901582,0.0000
2020-11-13,55.5000,58.5000,54.0000,55.2500,53.3899,12185888,0.0000
2020-11-06,52.9000,56.7500,52.0500,54.6500,52.8101,6830482,0.0000
2020-10-30,55.2500,55.6500,51.6500,52.1500,50.3943,5336952,0.0000
2020-10-23,54.9000,56.1000,53.1000,55.2500,53.3899,3898855,0.0000
2020-10-16,54.4500,55.0500,52.2500,54.1500,52.3270,4857184,0.0000
2020-10-09,54.4500,56.9000,53.6000,54.4500,52.6169,4271057,0.0000
2020-10-01,53.5000,54.7000,53.0000,54.4500,52.6169,3613209,0.0000
2020-09-25,56.0000,56.5000,50.0000,53.1000,51.3123,9341232,0.0000
2020-09-18,57.0000,58.7000,55.8500,56.1500,54.2596,6111135,0.0000
2020-09-11,59.9000,59.9000,52.5000,56.7000,54.7911,6139470,0.0000
2020-09-04,61.6500,61.7500,57.9000,58.8000,56.8204,7887318,0.0000
2020-08-28,62.5000,63.3000,59.0500,61.1500,59.0913,16514240,0.0000
2020-08-21,55.1500,63.4500,54.9500,61.9000,59.8161,19338921,0.0000
2020-08-14,50.4500,57.8500,49.8500,54.9500,53.1000,12151339,0.0000
2020-08-07,48.7000,50.6000,48.4000,49.6500,47.9785,3639820,0.0000
2020-07-31,48.9000,50.4500,47.5000,48.7000,47.0604,4452044,0.0000
